zona;item;cobertura;dn
LIMA SUR;Elite DH X 2;4818;67
LIMA SUR;Elite DH X 4;3053;41
LIMA SUR;Noble Premium x 4;5382;37
LIMA METRO;Noble DH X 2;5351;78
LIMA METRO;Elite DH X 4;2224;50
LIMA METRO;Elite DH X 2;3148;63
LIMA METRO;Noble Premium x 4;3917;32
LIMA CENTRO;Noble DH X 2;7574;74
LIMA CENTRO;Elite DH X 4;2839;44
LIMA CENTRO;Elite DH X 2;3288;54
LIMA CENTRO;Noble Premium x 4;6370;21
LIMA NORTE;Noble DH X 2;10433;89
LIMA NORTE;Elite DH X 4;3609;52
LIMA NORTE;Noble Premium x 4;6020;30
LIMA SUR;Noble DH X 2;6467;86
LIMA SUR;Elite DH X 2;4500;67
LIMA SUR;Elite DH X 4;2577;42
LIMA SUR;Noble Premium x 4;4072;41
LIMA METRO;Noble DH X 2;4791;76
LIMA METRO;Elite DH X 4;2075;51
LIMA METRO;Elite DH X 2;2737;61
LIMA METRO;Noble Premium x 4;2927;41
LIMA CENTRO;Noble DH X 2;6708;75
LIMA CENTRO;Elite DH X 4;2506;45
LIMA CENTRO;Elite DH X 2;3015;54
LIMA CENTRO;Noble Premium x 4;4209;24
LIMA NORTE;Noble DH X 2;12491;89
LIMA NORTE;Elite DH X 4;3627;52
LIMA NORTE;Noble Premium x 4;6336;33
LIMA SUR;Noble DH X 2;7135;87
LIMA SUR;Elite DH X 2;5203;67
LIMA SUR;Elite DH X 4;2633;42
LIMA SUR;Noble Premium x 4;4264;41
LIMA METRO;Noble DH X 2;5763;76
LIMA METRO;Elite DH X 4;2431;55
LIMA METRO;Elite DH X 2;3144;62
LIMA METRO;Noble Premium x 4;3722;43
LIMA CENTRO;Noble DH X 2;7769;74
LIMA CENTRO;Elite DH X 4;2740;46
LIMA CENTRO;Elite DH X 2;3719;54
LIMA CENTRO;Noble Premium x 4;4094;23
